,ctl_loading_date,ctl_loading,string_quantity,duplicated_by_loading,corrections,delay,day_of_week,cumulative_missing_days,rank
0,2018-04-09,38463471715,435,12,28,0 days,0,0,1
1,2018-04-10,36624943566,476,7,31,0 days,1,0,1
2,2018-04-11,90124869960,458,12,30,0 days,2,0,1
3,2018-04-12,54580391004,443,10,29,0 days,3,0,1
4,2018-04-13,80543078668,458,10,30,0 days,4,0,1
5,2018-04-14,58863098595,436,12,28,0 days,5,0,1
6,2018-04-15,61093947578,422,7,26,0 days,6,0,1
7,2018-04-16,16700909682,484,13,33,0 days,0,0,1
8,2018-04-17,43797555261,424,10,26,0 days,1,0,1
9,2018-04-18,20411138592,458,12,30,0 days,2,0,1
10,2018-04-19,63350614010,458,9,30,0 days,3,0,1
11,2018-04-20,8256509458,458,12,30,0 days,4,0,1
12,2018-04-21,38228029393,495,15,33,0 days,5,0,1
13,2018-04-22,17885368783,432,10,28,0 days,6,0,1
14,2018-04-23,13666086921,458,13,30,0 days,0,0,1
15,2018-04-24,50443573430,463,13,30,0 days,1,0,1
16,2018-04-25,45497019838,492,14,33,0 days,2,0,1
17,2018-04-26,25902764987,428,14,27,0 days,3,0,1
18,2018-04-27,92328498590,428,12,27,0 days,4,0,1
19,2018-04-28,64699825779,454,12,30,0 days,5,0,1
20,2018-04-29,36378111916,458,12,30,0 days,6,0,1
21,2018-04-30,27874889839,458,19,30,0 days,0,0,1
22,2018-05-01,1512912285,449,14,29,0 days,1,0,1
23,2018-05-02,68612161488,458,12,30,0 days,2,0,1
24,2018-05-03,87955906132,442,16,29,0 days,3,0,1
25,2018-05-04,66611524737,457,11,30,0 days,4,0,1
26,2018-05-05,29731994185,426,11,26,0 days,5,0,1
27,2018-05-06,63060022711,458,10,30,0 days,6,0,1
28,2018-05-07,77419832271,419,10,26,0 days,0,0,1
29,2018-05-08,67072196583,497,11,33,0 days,1,0,1
30,2018-05-09,17185983241,463,8,30,0 days,2,0,1
31,2018-05-10,45034791330,458,10,30,0 days,3,0,1
32,2018-05-11,20309686174,494,14,33,0 days,4,0,1
33,2018-05-12,8369697894,463,10,30,0 days,5,0,1
34,2018-05-13,35865296940,443,14,29,0 days,6,0,1
35,2018-05-14,4112690488,443,9,29,0 days,0,0,1
36,2018-05-15,43157482240,458,13,30,0 days,1,0,1
37,2018-05-16,72066484552,470,12,31,0 days,2,0,1
38,2018-05-17,91069912545,458,13,30,0 days,3,0,1
39,2018-05-18,43146483490,477,15,32,0 days,4,0,1
40,2018-05-19,2447845430,458,16,30,0 days,5,0,1
41,2018-05-20,17914149831,458,17,30,0 days,6,0,1
42,2018-05-21,39363395418,443,11,29,0 days,0,0,1
43,2018-05-22,96864197956,460,8,30,0 days,1,0,1
44,2018-05-23,67707378863,461,13,30,0 days,2,0,1
45,2018-05-24,33739171025,458,15,30,0 days,3,0,1
46,2018-05-25,64170379549,472,13,31,0 days,4,0,1
47,2018-05-26,75306123542,458,10,30,0 days,5,0,1
48,2018-05-27,56893838623,431,12,28,0 days,6,0,1
50,2018-05-29,14195682690,458,15,30,0 days,1,1,1
49,2018-05-29,12167897034,458,13,30,1 days,1,1,2
51,2018-05-30,53351084121,458,10,30,0 days,2,1,1
52,2018-05-31,84859468127,427,8,27,0 days,3,1,1
53,2018-06-01,58214216815,458,12,30,0 days,4,1,1
54,2018-06-02,35458543959,494,14,33,0 days,5,1,1
55,2018-06-03,84177375182,458,12,30,0 days,6,1,1
56,2018-06-04,4601489655,483,13,33,0 days,0,1,1
58,2018-06-07,61112945222,485,11,33,0 days,3,3,1
59,2018-06-07,66504582038,470,13,31,1 days,3,3,2
57,2018-06-07,28176459522,440,15,29,2 days,3,3,3
60,2018-06-08,71915961397,458,9,30,0 days,4,3,1
